"pinyinabb" "chinese" "pinyin" "chinese2" "shp" "dbname" "host" "port" "user" "password"
"ab" "阿坝" "Aba" "阿坝藏族羌族自治州" "Ngawa Tibetan and Qiang" "cityre_aba" NA NA NA NA
"ak" "安康" "Ankang" "安康市" "Ankang" "cityre_ankang" NA NA NA NA
"aks" "阿克苏" "Akesu" "阿克苏地区" "Aksu" "cityre_akesu" NA NA NA NA
"al" "阿里" "Ali" "阿里地区" "Ngari" "cityre_ali" NA NA NA NA
"ale" "阿拉尔" "Alaer" NA NA "cityre_alaer" NA NA NA NA
"als" "阿拉善" "Alashan" "阿拉善盟" "Alxa" "cityre_alashan" NA NA NA NA
"alt" "阿勒泰" "Aletai" "阿勒泰地区" "Altay" "cityre_aletai" NA NA NA NA
"anshun" "安顺" "Anshun" "安顺市" "Anshun" "cityre_anshun" NA NA NA NA
"aq" "安庆" "Anqing" "安庆市" "Anqing" "cityre_anqing" NA NA NA NA
"as" "鞍山" "Anshan" "鞍山市" "Anshan" "cityre_anshan" NA NA NA NA
"ay" "安阳" "Anyang" "安阳市" "Anyang" "cityre_anyang" NA NA NA NA
"baise" "百色" "Baise" "百色市" "Baise" "cityre_baise" NA NA NA NA
"baisha" "白沙" "Baisha" NA NA "cityre_baisha" NA NA NA NA
"baishan" "白山" "Baishan" "白山市" "Baishan" "cityre_baishan" NA NA NA NA
"baoji" "宝鸡" "Baoji" "宝鸡市" "Baoji" "cityre_baoji" NA NA NA NA
"baoting" "保亭" "Baoting" NA NA "cityre_baoting" NA NA NA NA
"bazhong" "巴中" "Bazhong" "巴中市" "Bazhong" "cityre_bazhong" NA NA NA NA
"bazhou" "巴州" "Bazhou" "巴音郭愣蒙古自治州" "Bayin'gholin Mongol" "cityre_bazhou" NA NA NA NA
"bc" "白城" "Baicheng" "白城市" "Baicheng" "cityre_baicheng" NA NA NA NA
"bd" "保定" "Baoding" "保定市" "Baoding" "cityre_baoding" NA NA NA NA
"beitun" "北屯" "Beitun" NA NA "cityre_beitun" NA NA NA NA
"bengbu" "蚌埠" "Bengbu" "蚌埠市" "Bengbu" "cityre_bengbu" NA NA NA NA
"bh" "北海" "Beihai" "北海市" "Beihai" "cityre_beihai" NA NA NA NA
"bijie" "毕节" "Bijie" "毕节地区" "Bijie" "cityre_bijie" NA NA NA NA
"bj" "北京" "Beijing" "北京|北京" "Beijing" "cityre_beijing" "10.11.10.34" 3307 "menglin" "menglin_2017_AR"
"bozhou" "亳州" "Bozhou" "亳州市" "Bozhou" "cityre_bozhou" NA NA NA NA
"bozhouxj" "博州" "Bozhou" "博尔塔拉蒙古自治州" "B枚rtala Mongol" "cityre_bozhouxj" NA NA NA NA
"bs" "保山" "Baoshan" "保山市" "Baoshan" "cityre_baoshan" NA NA NA NA
"bt" "包头" "Baotou" "包头市" "Baotou" "cityre_baotou" NA NA NA NA
"bx" "本溪" "Benxi" "本溪市" "Benxi" "cityre_benxi" NA NA NA NA
"by" "白银" "Baiyin" "白银市" "Baiyin" "cityre_baiyin" NA NA NA NA
"byne" "巴彦淖尔" "Bayannaoer" "巴彦淖尔市" "Baynnur" "cityre_bayannaoer" NA NA NA NA
"bz" "滨州" "Binzhou" "滨州" "Binzhou" "cityre_binzhou" NA NA NA NA
"cangzhou" "沧州" "Cangzhou" "沧州市" "Cangzhou" "cityre_cangzhou" NA NA NA NA
"cc" "长春" "Changchun" "长春市" "Changchun" "cityre_changchun" NA NA NA NA
"cd" "成都" "Chengdu" "成都市" "Chengdu" "cityre_chengdu" NA NA NA NA
"cf" "赤峰" "Chifeng" "赤峰市" "Chifeng" "cityre_chifeng" NA NA NA NA
"changde" "常德" "Changde" "常德市|常德市" "Changde" "cityre_changde" NA NA NA NA
"changdu" "昌都" "Changdu" "昌都地区" "Chamdo" "cityre_changdu" NA NA NA NA
"changjiang" "昌江" "Changjiang" NA NA "cityre_changjiang" NA NA NA NA
"changzhi" "长治" "Changzhi" "长治市" "Changzhi" "cityre_changzhi" NA NA NA NA
"chaozhou" "潮州" "Chaozhou" "潮州市" "Chaozhou" "cityre_chaozhou" NA NA NA NA
"chengde" "承德" "Chengde" "承德市" "Chengde" "cityre_chengde" NA NA NA NA
"chenzhou" "郴州" "Chenzhou" "郴州市|郴州市" "Chenzhou" "cityre_chenzhou" NA NA NA NA
"chizhou" "池州" "Chizhou" "池州市" "Chizhou" "cityre_chizhou" NA NA NA NA
"chongzuo" "崇左" "Chong左" "崇左市" "Chongzuo" "cityre_chongzuo" NA NA NA NA
"chuzhou" "滁州" "Chuzhou" "滁州市" "Chuzhou" "cityre_chuzhou" NA NA NA NA
"cj" "昌吉" "Changji" "昌吉回族自治州" "Changji Hui" "cityre_changji" NA NA NA NA
"cm" "澄迈" "Chengmai" NA NA "cityre_chengmai" NA NA NA NA
"cq" "重庆" "Chongqing" "重慶|重庆" "Chongqing" "cityre_chongqing" NA NA NA NA
"cs" "长沙" "Changsha" "长沙市|長沙市" "Changsha" "cityre_changsha" NA NA NA NA
"cx" "楚雄" "Chuxiong" "楚雄彝族自治州" "Chuxiong Yi" "cityre_chuxiong" NA NA NA NA
"cy" "朝阳" "Chaoyang" "朝阳市" "Chaoyang" "cityre_chaoyang" NA NA NA NA
"cz" "常州" "Changzhou" "常州市" "Changzhou" "cityre_changzhou" NA NA NA NA
"da" "定安" "Dingan" NA NA "cityre_dingan" NA NA NA NA
"dali" "大理" "Dali" "大理白族自治州" "Dali Bai" "cityre_dali" NA NA NA NA
"danzhou" "儋州" "Danzhou" NA NA "cityre_danzhou" NA NA NA NA
"dazhou" "达州" "Dazhou" "达州市" "Dazhou" "cityre_dazhou" NA NA NA NA
"dd" "丹东" "Dandong" "丹东市" "Dandong" "cityre_dandong" NA NA NA NA
"deyang" "德阳" "Deyang" "德阳市" "Deyang" "cityre_deyang" NA NA NA NA
"df" "东方" "Dongfang" NA NA "cityre_dongfang" NA NA NA NA
"dg" "东莞" "Dongguan" "东莞市" "Dongguan" "cityre_dongguan" NA NA NA NA
"dh" "德宏" "Dehong" "德宏傣族景颇族自治州" "Dehong Dai and Jingpo" "cityre_dehong" NA NA NA NA
